trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.995}",20,0,-113.43892105962108,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.99}",20,0,-79.94503092592339,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.985}",25,0,-117.95960049942165,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.98}",30,0,-163.22321346124676,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.975}",25,0,-78.86821986059753,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.97}",20,0,-112.48424109880214,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.965}",25,0,-117.23797284881978,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.96}",20,0,-174.8617080027418,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.955}",25,0,-105.58121172018373,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.95}",20,0,-94.97245481303896,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.945}",30,0,-187.9351594138962,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.4, 'e': 0.94}",25,0,-98.13914134958831,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.9349999999999999}",20,0,-19.105874825695782,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.9299999999999999}",20,0,-131.1610662236248,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0.9249999999999999}",30,0,-87.60600196013377,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.9199999999999999}",20,0,-121.48642021925961,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.4, 'e': 0.9149999999999999}",20,0,-41.229472352923736,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.9099999999999999}",20,14,-1.1921230570033396,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.9049999999999999}",25,0,-150.06141873026172,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.8999999999999999}",25,19,-1.8383513740608715,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.8949999999999999}",30,4,-236.62286015182883,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 4}",1
22,False,"{'a': 0.4, 'e': 0.8899999999999999}",20,0,-80.19983591712347,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.8849999999999999}",20,0,-65.94162360295027,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.8799999999999999}",25,0,-83.45884628049126,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.8749999999999999}",20,0,-131.18222118575036,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.8699999999999999}",20,8,-59.31185321756005,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
