trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,12,-82.85559132503995,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-129.52832647661498,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-159.2067755134587,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-130.88786629171005,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-212.47329917528063,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-82.37869422671365,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,-99.74396295133842,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-130.9538346511309,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-164.93475886133444,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-152.50389732822862,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-212.051794184604,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,0,-252.79095959711643,"{0: 14, 1: 2, 2: 8, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-191.93345347495313,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-81.59776863483572,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-106.43393238522766,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-70.83423569422312,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-126.16854837009618,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,4,-22.515467433080484,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-186.51388223207172,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,11,17.151264543739767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-146.17957779942878,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-72.96558578885082,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-53.259690650300875,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-110.956553212015,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-276.68258237088907,"{0: 7, 1: 2, 2: 2, 3: 5, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-227.5178567189631,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-147.415893616782,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-260.26788419193934,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",25,9,-62.277188930744984,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-125.27605533585464,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
